Ky,Ngay,Time,Main,Special,DisplayLines,Label,SourceUrl,SourceDate
1242,13/09/2025,,"2,7,15,18,24,27",45,02 07 15 18 24 27 | ĐB 45,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-13-09-2025.html,13/09/2025
1241,11/09/2025,,"6,16,46,49,51,55",42,06 16 46 49 51 55 | ĐB 42,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-11-09-2025.html,11/09/2025
1240,09/09/2025,,"16,20,21,31,40,52",2,16 20 21 31 40 52 | ĐB 02,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-09-09-2025.html,09/09/2025
1239,06/09/2025,,"9,11,19,22,34,43",31,09 11 19 22 34 43 | ĐB 31,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-06-09-2025.html,06/09/2025
1238,04/09/2025,,"9,19,23,42,49,53",40,09 19 23 42 49 53 | ĐB 40,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-04-09-2025.html,04/09/2025
1237,02/09/2025,,"9,16,22,25,30,51",43,09 16 22 25 30 51 | ĐB 43,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-02-09-2025.html,02/09/2025
1236,30/08/2025,,"2,17,19,24,30,44",34,02 17 19 24 30 44 | ĐB 34,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-30-08-2025.html,30/08/2025
1235,28/08/2025,,"6,13,28,30,35,52",50,06 13 28 30 35 52 | ĐB 50,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-28-08-2025.html,28/08/2025
1234,26/08/2025,,"22,30,38,44,48,55",5,22 30 38 44 48 55 | ĐB 05,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-26-08-2025.html,26/08/2025
1233,23/08/2025,,"1,9,26,34,44,50",52,01 09 26 34 44 50 | ĐB 52,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-23-08-2025.html,23/08/2025
1232,21/08/2025,,"5,9,17,35,40,41",44,05 09 17 35 40 41 | ĐB 44,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-21-08-2025.html,21/08/2025
1231,19/08/2025,,"1,14,31,34,36,47",45,01 14 31 34 36 47 | ĐB 45,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-19-08-2025.html,19/08/2025
1230,16/08/2025,,"14,23,32,36,47,48",5,14 23 32 36 47 48 | ĐB 05,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-16-08-2025.html,16/08/2025
1229,14/08/2025,,"6,10,17,18,32,35",53,06 10 17 18 32 35 | ĐB 53,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-14-08-2025.html,14/08/2025
1228,12/08/2025,,"1,6,24,37,40,55",10,01 06 24 37 40 55 | ĐB 10,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-12-08-2025.html,12/08/2025
1227,09/08/2025,,"5,9,16,36,43,51",19,05 09 16 36 43 51 | ĐB 19,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-09-08-2025.html,09/08/2025
1226,07/08/2025,,"6,24,31,32,39,48",52,06 24 31 32 39 48 | ĐB 52,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-07-08-2025.html,07/08/2025
1225,05/08/2025,,"8,41,45,51,52,53",31,08 41 45 51 52 53 | ĐB 31,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-05-08-2025.html,05/08/2025
1224,02/08/2025,,"12,24,29,33,34,35",47,12 24 29 33 34 35 | ĐB 47,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-02-08-2025.html,02/08/2025
1223,31/07/2025,,"5,17,31,42,46,49",37,05 17 31 42 46 49 | ĐB 37,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-31-07-2025.html,31/07/2025
1222,29/07/2025,,"4,8,23,43,45,51",48,04 08 23 43 45 51 | ĐB 48,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-29-07-2025.html,29/07/2025
1221,26/07/2025,,"5,26,28,29,33,54",34,05 26 28 29 33 54 | ĐB 34,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-26-07-2025.html,26/07/2025
1220,24/07/2025,,"5,10,24,29,30,34",45,05 10 24 29 30 34 | ĐB 45,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-24-07-2025.html,24/07/2025
1219,22/07/2025,,"9,10,15,28,33,44",22,09 10 15 28 33 44 | ĐB 22,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-22-07-2025.html,22/07/2025
1218,19/07/2025,,"8,9,20,36,39,44",28,08 09 20 36 39 44 | ĐB 28,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-19-07-2025.html,19/07/2025
1217,17/07/2025,,"13,18,33,40,48,53",54,13 18 33 40 48 53 | ĐB 54,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-17-07-2025.html,17/07/2025
1216,15/07/2025,,"18,26,31,32,36,48",30,18 26 31 32 36 48 | ĐB 30,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-15-07-2025.html,15/07/2025
1215,12/07/2025,,"2,34,39,41,45,52",51,02 34 39 41 45 52 | ĐB 51,Power_6/55,https://www.minhchinh.com/xs-power-655-ket-qua-power-655-ngay-12-07-2025.html,12/07/2025
